
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 1.385 --scale-max 1.57 --scale-step 0.005 --log-bvp logs/bvp_1.385-1.57.log --log-hc logs/hc_1.385-1.57.log --output-csv output/summary_1.385-1.57.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (38)=[1.385, 1.39, 1.3949999999999998, 1.3999999999999997, 1.4049999999999996, 1.4099999999999995, 1.4149999999999994, 1.4199999999999993, 1.4249999999999992, 1.429999999999999, 1.434999999999999, 1.4399999999999988, 1.4449999999999987, 1.4499999999999986, 1.4549999999999985, 1.4599999999999984, 1.4649999999999983, 1.4699999999999982, 1.474999999999998, 1.479999999999998, 1.4849999999999979, 1.4899999999999978, 1.4949999999999977, 1.4999999999999976, 1.5049999999999975, 1.5099999999999973, 1.5149999999999972, 1.5199999999999971, 1.524999999999997, 1.529999999999997, 1.5349999999999968, 1.5399999999999967, 1.5449999999999966, 1.5499999999999965, 1.5549999999999964, 1.5599999999999963, 1.5649999999999962, 1.569999999999996] | mode=range[1.385,1.57]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_1.385-1.57.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-11 01:55:28 | INFO     | [conv_ref:HC] trial 1/38 | scale=1.385 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i0
2026-04-11 01:55:28 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] final relative error:
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of T = 0.0008557959520951689
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of t = 0.0008600396395347337
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of x = 0.0004685817060578999
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of y = 0.000778624850549922
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of w = 0.0006832719281319916
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of p = 0.0
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of fs = 0.000869110250442249
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of rhob = 0.0005059862075723162
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] final relative error:
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of T = 1.819341771943529e-05
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of t = 1.9225371021699647e-05
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of p = 6.0743851445205815e-05
2026-04-11 01:55:37 | INFO     | [conv_ref:HC] relative error of fs = 0.0
