
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 0.435 --scale-max 0.62 --scale-step 0.005 --log-bvp logs/bvp_0.435-0.62.log --log-hc logs/hc_0.435-0.62.log --output-csv output/summary_0.435-0.62.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (38)=[0.435, 0.44, 0.445, 0.45, 0.455, 0.46, 0.465, 0.47000000000000003, 0.47500000000000003, 0.48000000000000004, 0.48500000000000004, 0.49000000000000005, 0.49500000000000005, 0.5, 0.505, 0.51, 0.515, 0.52, 0.525, 0.53, 0.535, 0.54, 0.545, 0.55, 0.555, 0.56, 0.5650000000000001, 0.5700000000000001, 0.5750000000000001, 0.5800000000000001, 0.5850000000000001, 0.5900000000000001, 0.5950000000000001, 0.6000000000000001, 0.6050000000000001, 0.6100000000000001, 0.6150000000000001, 0.6200000000000001] | mode=range[0.435,0.62]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_0.435-0.62.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-10 23:43:29 | INFO     | [conv_ref:HC] trial 1/38 | scale=0.435 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i0
2026-04-10 23:43:29 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] relative error of T = 0.0006689978900562211
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] relative error of t = 0.0006707986976434997
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] relative error of x = 0.00032767229194763007
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] relative error of y = 0.0005396597239279214
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] relative error of w = 0.0004519363641942853
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] relative error of p = 1.1403792969916486e-16
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] relative error of fs = 0.0007551104695649961
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] relative error of rhob = 0.0003712530164393661
2026-04-10 23:43:35 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:43:40 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:40 | INFO     | [conv_ref:HC] relative error of T = 0.023923641789220053
2026-04-10 23:43:40 | INFO     | [conv_ref:HC] relative error of t = 0.024735318669272963
2026-04-10 23:43:40 | INFO     | [conv_ref:HC] relative error of x = 0.8305303453024546
2026-04-10 23:43:40 | INFO     | [conv_ref:HC] relative error of p = 0.0009310230221578375
2026-04-10 23:43:40 | INFO     | [conv_ref:HC] relative error of fs = 0.0026592460450600283
2026-04-10 23:43:40 | INFO     | [conv_ref:HC] relative error of rhob = 0.03214975432828772
