
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 1.575 --scale-max 1.76 --scale-step 0.005 --log-bvp logs/bvp_1.575-1.76.log --log-hc logs/hc_1.575-1.76.log --output-csv output/summary_1.575-1.76.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (38)=[1.575, 1.5799999999999998, 1.5849999999999997, 1.5899999999999996, 1.5949999999999995, 1.5999999999999994, 1.6049999999999993, 1.6099999999999992, 1.614999999999999, 1.619999999999999, 1.624999999999999, 1.6299999999999988, 1.6349999999999987, 1.6399999999999986, 1.6449999999999985, 1.6499999999999984, 1.6549999999999983, 1.6599999999999981, 1.664999999999998, 1.669999999999998, 1.6749999999999978, 1.6799999999999977, 1.6849999999999976, 1.6899999999999975, 1.6949999999999974, 1.6999999999999973, 1.7049999999999972, 1.709999999999997, 1.714999999999997, 1.7199999999999969, 1.7249999999999968, 1.7299999999999967, 1.7349999999999965, 1.7399999999999964, 1.7449999999999963, 1.7499999999999962, 1.7549999999999961, 1.759999999999996] | mode=range[1.575,1.76]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_1.575-1.76.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-10 23:44:47 | INFO     | [conv_ref:HC] trial 1/38 | scale=1.575 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i0
2026-04-10 23:44:47 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of T = 0.0008410158012883477
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of t = 0.0008452091329507316
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of x = 0.0004506675626039036
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of y = 0.0007484197450258187
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of w = 0.0006749877554240153
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of p = 0.0
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of fs = 0.0008597267833493838
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of rhob = 0.0004947616629970072
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of T = 2.2459011233124294e-05
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of t = 2.3784885800986402e-05
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:45:03 | INFO     | [conv_ref:HC] relative error of p = 7.487322245190268e-05
