
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 1.195 --scale-max 1.38 --scale-step 0.005 --log-bvp logs/bvp_1.195-1.38.log --log-hc logs/hc_1.195-1.38.log --output-csv output/summary_1.195-1.38.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (38)=[1.195, 1.2, 1.2049999999999998, 1.2099999999999997, 1.2149999999999996, 1.2199999999999995, 1.2249999999999994, 1.2299999999999993, 1.2349999999999992, 1.239999999999999, 1.244999999999999, 1.249999999999999, 1.2549999999999988, 1.2599999999999987, 1.2649999999999986, 1.2699999999999985, 1.2749999999999984, 1.2799999999999983, 1.2849999999999981, 1.289999999999998, 1.294999999999998, 1.2999999999999978, 1.3049999999999977, 1.3099999999999976, 1.3149999999999975, 1.3199999999999974, 1.3249999999999973, 1.3299999999999972, 1.334999999999997, 1.339999999999997, 1.3449999999999969, 1.3499999999999968, 1.3549999999999967, 1.3599999999999965, 1.3649999999999964, 1.3699999999999963, 1.3749999999999962, 1.3799999999999961] | mode=range[1.195,1.38]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_1.195-1.38.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-11 01:55:16 | INFO     | [conv_ref:HC] trial 1/38 | scale=1.195 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i0
2026-04-11 01:55:16 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] final relative error:
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of T = 0.000839780299443175
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of t = 0.0008439715601020531
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of x = 0.0004494962621267068
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of y = 0.0007464476878760873
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of w = 0.0006743259959437004
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of p = 1.7927440412687632e-17
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of fs = 0.0008593125376428358
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of rhob = 0.0004940104836581216
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] final relative error:
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of T = 2.3574781252860336e-05
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of t = 2.486555586598643e-05
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-11 01:55:21 | INFO     | [conv_ref:HC] relative error of p = 3.845584788940348e-05
