
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 0.625 --scale-max 0.81 --scale-step 0.005 --log-bvp logs/bvp_0.625-0.81.log --log-hc logs/hc_0.625-0.81.log --output-csv output/summary_0.625-0.81.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (38)=[0.625, 0.63, 0.635, 0.64, 0.645, 0.65, 0.655, 0.66, 0.665, 0.67, 0.675, 0.68, 0.685, 0.6900000000000001, 0.6950000000000001, 0.7000000000000001, 0.7050000000000001, 0.7100000000000001, 0.7150000000000001, 0.7200000000000001, 0.7250000000000001, 0.7300000000000001, 0.7350000000000001, 0.7400000000000001, 0.7450000000000001, 0.7500000000000001, 0.7550000000000001, 0.7600000000000001, 0.7650000000000001, 0.7700000000000001, 0.7750000000000001, 0.7800000000000001, 0.7850000000000001, 0.7900000000000001, 0.7950000000000002, 0.8000000000000002, 0.8050000000000002, 0.8100000000000002] | mode=range[0.625,0.81]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_0.625-0.81.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-10 23:43:43 | INFO     | [conv_ref:HC] trial 1/38 | scale=0.625 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i0
2026-04-10 23:43:43 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of T = 0.0008362784227091988
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of t = 0.0008404539662958164
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of x = 0.0004455645252308333
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of y = 0.0007397843766847211
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of w = 0.0006709870502121016
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of p = 5.975854691357631e-18
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of fs = 0.0008552996158003301
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of rhob = 0.0004915813732276058
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of T = 3.406423970450288e-06
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of t = 3.5104199605277327e-06
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of p = 2.722708129163162e-06
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of fs = 0.0
2026-04-10 23:43:49 | INFO     | [conv_ref:HC] relative error of rhob = 0.0
