
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 1.005 --scale-max 1.19 --scale-step 0.005 --log-bvp logs/bvp_1.005-1.19.log --log-hc logs/hc_1.005-1.19.log --output-csv output/summary_1.005-1.19.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (38)=[1.005, 1.0099999999999998, 1.0149999999999997, 1.0199999999999996, 1.0249999999999995, 1.0299999999999994, 1.0349999999999993, 1.0399999999999991, 1.044999999999999, 1.049999999999999, 1.0549999999999988, 1.0599999999999987, 1.0649999999999986, 1.0699999999999985, 1.0749999999999984, 1.0799999999999983, 1.0849999999999982, 1.089999999999998, 1.094999999999998, 1.0999999999999979, 1.1049999999999978, 1.1099999999999977, 1.1149999999999975, 1.1199999999999974, 1.1249999999999973, 1.1299999999999972, 1.1349999999999971, 1.139999999999997, 1.144999999999997, 1.1499999999999968, 1.1549999999999967, 1.1599999999999966, 1.1649999999999965, 1.1699999999999964, 1.1749999999999963, 1.1799999999999962, 1.184999999999996, 1.189999999999996] | mode=range[1.005,1.19]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_1.005-1.19.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-10 23:44:11 | INFO     | [conv_ref:HC] trial 1/38 | scale=1.005 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i0
2026-04-10 23:44:11 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of T = 0.000658155595889041
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of t = 0.0006630942550931245
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of x = 0.000423407920405211
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of y = 0.000703147786325369
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of w = 0.0006406768169885998
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of p = 8.45277655948728e-17
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of fs = 0.0009560012925874661
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of rhob = 0.00040042325089509014
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of T = 0.0001559573965436716
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of t = 0.00015670605459530769
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of p = 0.00025383631079927685
2026-04-10 23:44:14 | INFO     | [conv_ref:HC] relative error of fs = 0.0
