
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 0.245 --scale-max 0.43 --scale-step 0.005 --log-bvp logs/bvp_0.245-0.43.log --log-hc logs/hc_0.245-0.43.log --output-csv output/summary_0.245-0.43.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (38)=[0.245, 0.25, 0.255, 0.26, 0.265, 0.27, 0.275, 0.28, 0.28500000000000003, 0.29000000000000004, 0.29500000000000004, 0.30000000000000004, 0.30500000000000005, 0.31000000000000005, 0.31500000000000006, 0.32000000000000006, 0.32500000000000007, 0.33000000000000007, 0.3350000000000001, 0.3400000000000001, 0.3450000000000001, 0.3500000000000001, 0.3550000000000001, 0.3600000000000001, 0.3650000000000001, 0.3700000000000001, 0.3750000000000001, 0.3800000000000001, 0.3850000000000001, 0.3900000000000001, 0.39500000000000013, 0.40000000000000013, 0.40500000000000014, 0.41000000000000014, 0.41500000000000015, 0.42000000000000015, 0.42500000000000016, 0.43000000000000016] | mode=range[0.245,0.43]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_0.245-0.43.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-10 23:43:15 | INFO     | [conv_ref:HC] trial 1/38 | scale=0.245 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i0
2026-04-10 23:43:15 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of T = 0.0008501056996845695
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of t = 0.0008543198631839469
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of x = 0.0004404115323734775
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of y = 0.000729542118797596
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of w = 0.000616151029025943
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of p = 9.257353775389286e-17
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of fs = 0.0008552477526487589
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of rhob = 0.0005124391609696079
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of T = 8.589641112547552e-05
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of t = 9.44789500850202e-05
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of p = 3.440874609849505e-05
2026-04-10 23:43:21 | INFO     | [conv_ref:HC] relative error of fs = 0.0
