
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 0.815 --scale-max 1.0 --scale-step 0.005 --log-bvp logs/bvp_0.815-1.0.log --log-hc logs/hc_0.815-1.0.log --output-csv output/summary_0.815-1.0.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (38)=[0.815, 0.82, 0.825, 0.83, 0.835, 0.84, 0.845, 0.85, 0.855, 0.86, 0.865, 0.87, 0.875, 0.88, 0.885, 0.89, 0.895, 0.9, 0.905, 0.91, 0.915, 0.92, 0.925, 0.93, 0.935, 0.9400000000000001, 0.9450000000000001, 0.9500000000000001, 0.9550000000000001, 0.9600000000000001, 0.9650000000000001, 0.9700000000000001, 0.9750000000000001, 0.9800000000000001, 0.9850000000000001, 0.9900000000000001, 0.9950000000000001, 1.0] | mode=range[0.815,1.0]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_0.815-1.0.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-11 01:54:52 | INFO     | [conv_ref:HC] trial 1/38 | scale=0.815 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i0
2026-04-11 01:54:52 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] final relative error:
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of T = 0.0008371486293384956
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of t = 0.0008413246617667787
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of x = 0.0004446784088924313
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of y = 0.0007383114673206545
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of w = 0.0006708303421894107
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of p = 9.44863887965585e-17
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of fs = 0.000855511163828391
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of rhob = 0.000492038594925472
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] final relative error:
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of T = 3.4645662372818837e-06
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of t = 3.5696397389745513e-06
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of p = 2.762881235391677e-06
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of fs = 0.0
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] relative error of rhob = 0.0
2026-04-11 01:54:55 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
